tmdb_id,imdb_id,title,original_title,overview,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,adult,video,status,poster_path,backdrop_path,homepage,genres,genre_ids,production_companies,production_countries,spoken_languages,cast,directors,writers
1061474,tt5950044,Superman,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",Look up.,2025-07-09,130,225000000,0,49.4245,0.0,0,False,False,Post Production,/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg,/g62G6aBcAcJv3ClCKmJgmHarHvq.jpg,https://www.superman.com,ACTION|ADVENTURE|SCIENCE_FICTION,28|12|878,DC Studios|Troll Court Entertainment|The Safran Company,United States of America,English,,,
1311844,tt31828378,The Twisters,The Twisters,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",When Two Become One,2024-06-28,87,0,0,348.0535,5.744,45,False,False,Released,/8OP3h80BzIDgmMNANVaYlQ6H4Oc.jpg,/xtnfoFs9vOLBF7Ox13mFmFUovey.jpg,,ACTION|ADVENTURE|DRAMA,28|12|18,"Atomic Blonde Entertainment|The Global Asylum, LLC.|The Asylum",United States of America,English,,,
1450599,tt36240772,K.O.,K.O.,"A former fighter must find the missing son of an opponent he accidentally killed years ago, taking on a brutally violent crime gang in Marseille.",,2025-06-05,84,0,0,85.8726,6.629,163,False,False,Released,/qcM2sUiAeP4zXwx4ADSvgc9S58k.jpg,/rU9kRB3rBU5O7AMReZCiuIy7zmE.jpg,https://www.netflix.com/title/81745661,ACTION|DRAMA|ADVENTURE,28|18|12,Empreinte Digitale|Artémis Productions,France|Belgium,Français,,,
1239655,tt30505698,Friendship,Friendship,"Suburban dad Craig falls hard for his charismatic new neighbor Austin, as Craig’s attempts to make an adult male friend threaten to ruin both of their lives.",Men shouldn't have friends.,2025-05-09,100,2000000,15992568,9.7416,6.816,57,False,False,Released,/eikAu9gPJTQQmwFwa1zX5Hfz96P.jpg,/g70uNy3hRqEcU0ilBTtcuBFlizx.jpg,https://a24films.com/films/friendship,COMEDY,35,BoulderLight Pictures|Fifth Season|Friends Night,United States of America,English,,,
105,tt0088763,Back to the Future,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",He was never in time for his classes. He wasn't in time for his dinner. Then one day...he wasn't in his time at all.,1985-07-03,116,19000000,381109762,16.3894,8.322,20639,False,False,Released,/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,/yz8QL8WFD8yj0LA5zIlNOgcHvZK.jpg,http://www.backtothefuture.com/movies/backtothefuture1,ADVENTURE|COMEDY|SCIENCE_FICTION,12|35|878,Universal Pictures|Amblin Entertainment,United States of America,English,,,
1152619,tt14853700,Possessions,Possessions,"Follows a father who seeks a fresh start with his son after the loss of his wife, and purchased a storage unit facility sight unseen, but secrets buried behind the metal doors become a parent's worst nightmare.",,2024-04-12,90,0,0,76.4096,5.313,32,False,False,Released,/39a7zYZvkGfs7EOVVK3dQlWyYJ0.jpg,/4uEVhE07sSEg3t9MdudCjXWt9fG.jpg,,HORROR,27,Paperclip|Next Entertainment|Red Clay Studios,United States of America,,,,
770156,tt11916254,Lucy Shimmers and the Prince of Peace,Lucy Shimmers and the Prince of Peace,Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,,2020-10-19,87,0,0,7.1768,8.371,314,False,False,Released,/yfnJ5qIYx7q33fY4jqv9Pu95RSg.jpg,/7KR1nKGaYqPuFBnqP7XBIX0DZlR.jpg,,DRAMA|FAMILY,18|10751,Rob Diamond Films|Future Movie Productions,United States of America,English,,,
1018990,tt11306808,Continent,Continente,"After 15 years of living abroad, Amanda returns home with her French boyfriend, Martin. They arrive at her family's large-scale farm, located in a secluded village on the endless plains of southern Brazil. There, Amanda finds her father in a coma in the midst of increasing tension among the workers. The sole doctor in the nearby village is Helô, a young woman who resigns herself to caring for the local townspeople. The imminent death of the farm owner will put Amanda, Martin, and Helô at the heart of a disturbing settlement between the village and the farm owners.",Some Wounds Never Heal,2024-07-18,116,0,0,94.8271,6.0,5,False,False,Released,/eZnG8rLgRDAbDxnw5nDDp7dJZ43.jpg,/n1xUohOqxYYWrweSJvD4rvWiw3n.jpg,,HORROR|DRAMA,27|18,Vulcana Cinema|Dublin Films|Murillo Cine|PASTO,Argentina|Brazil|France,Français|Português,,,
1365103,tt31656774,Marriage Unplugged,Marriage Unplugged,"Unhappy in their marriage, Suzanna and Andrew buy a male sex robot called James, who consequently uncovers the deep fractures in their relationship.",,2024-10-28,15,0,0,42.099,8.0,2,False,False,Released,/3H99Wl52sBPRqXZ3LJjgODOLfwX.jpg,,https://www.nueschsisters.com/,,,Jeva Films|Nüesch Sisters Productions,United Kingdom,English,,,
1190511,tt29471573,Sitaare Zameen Par,सितारे ज़मीन पर,A disgraced basketball coach is given the chance to coach a team of players who are intellectually disabled as part of community services. Gulshan has apprehensions at first and feels out of place but soon realizes they just might have what it takes to make it to the national championships.,Sabka Apna Apna Normal.,2025-06-20,155,0,0,18.9133,7.7,9,False,False,Released,/2ztRFbp1YSvMSIrr7AqYq6i6pqC.jpg,/pdbML7ol4HvsI1xWX0s9LZpUGfL.jpg,,COMEDY|DRAMA,35|18,Aamir Khan Productions,India,हिन्दी,,,
